,Nombres,Anteriores,Ultimos,Difs,Maximos,Minimos,Fechas,Horas,Difs_Anno_2019
0,IBEX 35®,"9.468,50","9.487,30","0,20","9.528,40","9.483,00",15/04/2019,14:02,"11,09"
1,IBEX 35® con Dividendos,"26.706,40","26.759,40","0,20","26.875,40","26.747,30",15/04/2019,14:02,"12,25"
2,IBEX MEDIUM CAP®,"13.685,70","13.762,40","0,56","13.776,00","13.717,20",15/04/2019,14:02,"5,91"
3,IBEX SMALL CAP®,"6.684,90","6.711,30","0,39","6.724,60","6.691,50",15/04/2019,14:02,"10,26"
4,IBEX 35® Bancos,"586,30","586,80","0,09","593,60","585,10",15/04/2019,14:02,"9,58"
5,IBEX 35® Energía,"1.302,40","1.299,10","-0,25","1.306,90","1.298,00",15/04/2019,14:02,"7,98"
6,IBEX 35® Construcción,"1.515,70","1.524,60","0,59","1.526,50","1.518,70",15/04/2019,14:01,"23,22"
7,IBEX TOP Dividendo®,"2.973,10","2.986,00","0,43","2.996,40","2.981,40",15/04/2019,14:02,"9,22"
8,IBEX 35® con Dividendos Netos,"22.694,40","22.739,40","0,20","22.838,00","22.729,10",15/04/2019,14:02,"12,03"
9,IBEX 35® Inverso,"2.584,10","2.578,30","-0,22","2.580,10","2.567,70",15/04/2019,14:02,"-11,39"
10,IBEX 35® Doble Inverso,"385,50","383,80","-0,44","384,30","380,60",15/04/2019,14:02,"-21,77"
11,IBEX 35® Triple Inverso,"25,80","25,60","-0,78","25,70","25,30",15/04/2019,14:02,"-30,81"
12,IBEX 35® Inverso X5,"10,20","10,10","-0,98","10,10","9,90",15/04/2019,14:02,"-48,99"
13,IBEX 35® Inverso X10,"315,80","308,70","-2,25","310,90","295,80",15/04/2019,14:02,"-75,64"
14,IBEX 35® Doble Apalancado,"5.531,60","5.556,30","0,45","5.601,50","5.548,40",15/04/2019,14:02,"22,88"
15,IBEX 35® Doble Apalancado Bruto,"22.074,20","22.172,60","0,45","22.353,10","22.141,40",15/04/2019,14:02,"25,45"
16,IBEX 35® Doble Apalancado Neto,"18.922,00","19.006,30","0,45","19.161,10","18.979,50",15/04/2019,14:02,"24,96"
17,IBEX 35® Triple Apalancado,"1.137,40","1.145,00","0,67","1.158,90","1.142,60",15/04/2019,14:02,"35,29"
18,IBEX 35® Triple Apalancado Neto,"11.023,60","11.097,20","0,67","11.232,40","11.073,70",15/04/2019,14:02,"38,77"
19,IBEX 35® Apalancado Neto X5,"2.198,20","2.222,60","1,11","2.267,60","2.214,80",15/04/2019,14:02,"68,98"
20,IBEX 35® Apalancado Neto X10,"2.286,50","2.337,30","2,22","2.430,80","2.321,00",15/04/2019,14:02,"157,64"
21,IBEX 35® Capped Net Return,"22.756,50","22.801,70","0,20","22.900,50","22.791,30",15/04/2019,14:02,"12,03"
22,IBEX 35® Impacto Div,"116,10","116,10",- ,"116,10","116,10",12/04/2019,17:38,- 
23,IBEX 35® Volatilidad Objetivo 10% Estándar,"186,30","186,60","0,16","187,20","186,50",15/04/2019,14:02,"7,92"
24,IBEX 35® Volatilidad Objetivo 12% Estándar,"194,20","194,60","0,21","195,40","194,50",15/04/2019,14:02,"9,45"
25,IBEX 35® Volatilidad Objetivo 15% Estándar,"201,80","202,30","0,25","203,30","202,20",15/04/2019,14:02,"12,08"
26,IBEX 35® Volatilidad Objetivo 18% Estándar,"203,20","203,90","0,34","205,10","203,70",15/04/2019,14:02,"14,61"
27,IBEX 35® Volatilidad Objetivo 10% Financiado,"134,40","134,60","0,15","135,10","134,60",15/04/2019,14:02,"7,85"
28,IBEX 35® Volatilidad Objetivo 12% Financiado,"137,70","138,00","0,22","138,50","137,90",15/04/2019,14:02,"9,35"
29,IBEX 35® Volatilidad Objetivo 15% Financiado,"148,00","148,40","0,27","149,10","148,30",15/04/2019,14:02,"12,00"
30,IBEX 35® Volatilidad Objetivo 18% Financiado,"142,80","143,30","0,35","144,10","143,10",15/04/2019,14:02,"14,46"
31,VIBEX®,"12,43","11,89","-4,34","11,89","11,89",12/04/2019, ,"-43,73"
32,IBEX 35® Skew,"5,80","5,81","0,17","5,81","5,81",12/04/2019, ,"5,25"
33,IBEX 35® BuyWrite,"1.663,46","1.665,03","0,09","1.665,03","1.665,03",12/04/2019, ,"11,87"
34,IBEX 35® PutWrite,"1.643,59","1.643,59","0,00","1.643,59","1.643,59",12/04/2019, ,"3,11"
35,IBEX 35® Protective Put,"582,60","583,46","0,15","583,46","583,46",12/04/2019, ,"8,43"
36,IBEX 35® Venta de Strangle,"2.172,02","2.170,84","-0,05","2.170,84","2.170,84",12/04/2019, ,"2,95"
37,IBEX TOP Dividendo® Rentabilidad,"7.102,00","7.132,90","0,44","7.157,70","7.121,90",15/04/2019,14:02,"10,33"
38,IBEX TOP Dividendo® Rentabilidad Neta,"6.014,60","6.040,80","0,44","6.061,80","6.031,40",15/04/2019,14:02,"10,12"
39,IBEX MEDIUM CAP® con Dividendos,"14.517,60","14.598,90","0,56","14.613,30","14.550,90",15/04/2019,14:02,"6,78"
40,IBEX MEDIUM CAP® con Dividendos Netos,"13.652,00","13.728,50","0,56","13.742,00","13.683,40",15/04/2019,14:02,"6,61"
41,IBEX SMALL CAP® con Dividendos,"9.480,20","9.519,80","0,42","9.538,70","9.491,70",15/04/2019,14:02,"10,47"
42,IBEX SMALL CAP® con Dividendos Netos,"9.195,80","9.233,90","0,41","9.252,20","9.206,60",15/04/2019,14:02,"10,43"
43,IBEX MAB® 15,"1.102,60","1.094,10","-0,77","1.105,80","1.092,10",15/04/2019,13:48,"20,55"
44,IBEX MAB® All Share,"997,80","993,30","-0,45","999,80","991,90",15/04/2019,13:48,"6,38"
45,FTSE4Good IBEX,"9.756,80","9.784,20","0,28","9.814,60","9.770,20",15/04/2019,14:02,"10,51"
46,FTSE4Good IBEX Total Return,"20.140,90","20.197,50","0,28","20.260,10","20.168,40",15/04/2019,14:02,"11,63"
47,FTSE4Good IBEX Net Return,"18.085,10","18.135,90","0,28","18.192,20","18.109,90",15/04/2019,14:02,"11,41"
48,FTSE Latibex All Share,"2.465,20","2.481,70","0,67","2.484,30","2.481,70",15/04/2019,11:35,"13,92"
49,FTSE Latibex TOP,"5.191,10","5.211,70","0,40","5.219,40","5.211,70",15/04/2019,11:35,"11,43"
50,FTSE Latibex BRASIL,"11.622,20","11.704,90","0,71","11.704,90","11.704,90",15/04/2019,11:30,"13,73"
51,I.G.B.M.,"955,45","957,38","0,20","961,13","956,71",15/04/2019,14:02,"10,99"
52,I.G.B.M. Total,"3.732,44","3.744,37","0,32","3.744,37","3.744,37",12/04/2019,17:38,"12,03"
53,BCN GLOBAL 100 (Base 1986),"753,89","755,76","0,25","759,38","754,91",15/04/2019,14:02,"12,76"
54,BCN GLOBAL 100 (Base 1963),"1.937,62","1.942,43","0,25","1.951,74","1.940,26",15/04/2019,14:02,"12,76"
55,BCN MID 50,"22.713,88","22.872,25","0,70","22.890,19","22.744,06",15/04/2019,14:02,"13,14"
56,BCN PROFIT-30,"13.923,17","13.959,57","0,26","14.007,62","13.940,43",15/04/2019,14:02,"9,35"
57,BCN ROE-30,"21.771,29","21.845,01","0,34","21.885,04","21.812,20",15/04/2019,14:02,"11,19"
58,BCN PER-30,"23.003,97","23.088,00","0,37","23.138,62","23.047,07",15/04/2019,14:02,"9,55"
59,BCN INDEXCAT,"19.715,15","19.822,45","0,54","19.857,12","19.713,76",15/04/2019,14:02,"7,41"
60,BCN TOP EURO,"1.104,12","1.105,86","0,16","1.111,18","1.105,22",15/04/2019,14:02,"10,59"
61,BCN TOP 5,"1.126,95","1.128,64","0,15","1.136,29","1.128,15",15/04/2019,14:02,"12,86"
62,BILBAO,"1.476,29","1.480,43","0,28","1.485,32","1.479,56",15/04/2019,14:02,"11,30"
63,VALENCIA,"1.266,62","1.269,46","0,22","1.274,57","1.268,44",15/04/2019,14:02,"13,49"
64,Índice TEF Apalancado X3,"2.781,20","2.829,40","1,73","2.851,80","2.794,60",15/04/2019,14:01,"3,00"
65,Índice SAN Apalancado X3,"3.681,90","3.689,00","0,19","3.818,60","3.650,30",15/04/2019,14:02,"48,78"
66,Índice BBVA Apalancado X3,"2.088,30","2.080,30","-0,38","2.151,90","2.064,30",15/04/2019,14:01,"70,95"
67,Índice ITX Apalancado X3,"4.790,30","4.844,70","1,14","4.937,60","4.839,30",15/04/2019,14:02,"57,39"
68,Índice TEF Apalancado X5,"81,80","84,20","2,93","85,30","82,50",15/04/2019,14:01,"1,32"
69,Índice SAN Apalancado X5,"1.020,40","1.023,70","0,32","1.083,50","1.005,80",15/04/2019,14:02,"77,51"
70,Índice BBVA Apalancado X5,"115,00","114,30","-0,61","120,80","112,80",15/04/2019,14:01,"124,56"
71,Índice ITX Apalancado X5,"1.201,10","1.223,80","1,89","1.262,70","1.221,60",15/04/2019,14:02,"97,64"
72,Índice TEF Inverso X3,"3.224,10","3.163,30","-1,89","3.203,60","3.137,30",15/04/2019,14:01,"-14,45"
73,Índice SAN Inverso X3,"521,50","519,70","-0,35","525,20","501,30",15/04/2019,14:02,"-46,15"
74,Índice BBVA Inverso X3,"1.464,90","1.468,30","0,23","1.479,40","1.418,10",15/04/2019,14:01,"-53,25"
75,Índice ITX Inverso X3,"2.786,10","2.750,10","-1,29","2.753,30","2.696,10",15/04/2019,14:02,"-47,48"
76,Índice TEF Inverso X5,"548,80","531,60","-3,13","543,00","524,20",15/04/2019,14:01,"-26,00"
77,Índice SAN Inverso X5,"13,30","13,20","-0,75","13,50","12,40",15/04/2019,14:02,"-67,65"
78,Índice BBVA Inverso X5,"90,40","90,70","0,33","91,90","85,60",15/04/2019,14:01,"-74,30"
79,Índice ITX Inverso X5,"501,10","490,30","-2,16","491,30","474,10",15/04/2019,14:02,"-68,45"
0,IBEX 35®,"9.468,50","9.488,80","0,21","9.528,40","9.483,00",15/04/2019,14:05,"11,11"
1,IBEX 35® con Dividendos,"26.706,40","26.763,80","0,21","26.875,40","26.747,30",15/04/2019,14:05,"12,27"
2,IBEX MEDIUM CAP®,"13.685,70","13.758,50","0,53","13.776,00","13.717,20",15/04/2019,14:05,"5,88"
3,IBEX SMALL CAP®,"6.684,90","6.714,60","0,44","6.724,60","6.691,50",15/04/2019,14:05,"10,31"
4,IBEX 35® Bancos,"586,30","586,80","0,09","593,60","585,10",15/04/2019,14:05,"9,58"
5,IBEX 35® Energía,"1.302,40","1.299,40","-0,23","1.306,90","1.298,00",15/04/2019,14:05,"8,00"
6,IBEX 35® Construcción,"1.515,70","1.525,20","0,63","1.526,50","1.518,70",15/04/2019,14:05,"23,27"
7,IBEX TOP Dividendo®,"2.973,10","2.984,50","0,38","2.996,40","2.981,40",15/04/2019,14:05,"9,17"
8,IBEX 35® con Dividendos Netos,"22.694,40","22.743,20","0,22","22.838,00","22.729,10",15/04/2019,14:05,"12,05"
9,IBEX 35® Inverso,"2.584,10","2.578,50","-0,22","2.580,10","2.567,70",15/04/2019,14:05,"-11,39"
10,IBEX 35® Doble Inverso,"385,50","383,80","-0,44","384,30","380,60",15/04/2019,14:05,"-21,77"
11,IBEX 35® Triple Inverso,"25,80","25,60","-0,78","25,70","25,30",15/04/2019,14:05,"-30,81"
12,IBEX 35® Inverso X5,"10,20","10,10","-0,98","10,10","9,90",15/04/2019,14:05,"-48,99"
13,IBEX 35® Inverso X10,"315,80","309,00","-2,15","310,90","295,80",15/04/2019,14:05,"-75,61"
14,IBEX 35® Doble Apalancado,"5.531,60","5.555,10","0,42","5.601,50","5.548,40",15/04/2019,14:05,"22,85"
15,IBEX 35® Doble Apalancado Bruto,"22.074,20","22.168,10","0,43","22.353,10","22.141,40",15/04/2019,14:05,"25,43"
16,IBEX 35® Doble Apalancado Neto,"18.922,00","19.002,50","0,43","19.161,10","18.979,50",15/04/2019,14:05,"24,94"
17,IBEX 35® Triple Apalancado,"1.137,40","1.144,60","0,63","1.158,90","1.142,60",15/04/2019,14:05,"35,25"
18,IBEX 35® Triple Apalancado Neto,"11.023,60","11.093,80","0,64","11.232,40","11.073,70",15/04/2019,14:05,"38,72"
19,IBEX 35® Apalancado Neto X5,"2.198,20","2.221,50","1,06","2.267,60","2.214,80",15/04/2019,14:05,"68,90"
20,IBEX 35® Apalancado Neto X10,"2.286,50","2.335,00","2,12","2.430,80","2.321,00",15/04/2019,14:05,"157,39"
21,IBEX 35® Capped Net Return,"22.756,50","22.805,40","0,21","22.900,50","22.791,30",15/04/2019,14:05,"12,05"
22,IBEX 35® Impacto Div,"116,10","116,10",- ,"116,10","116,10",12/04/2019,17:38,- 
23,IBEX 35® Volatilidad Objetivo 10% Estándar,"186,30","186,60","0,16","187,20","186,50",15/04/2019,14:05,"7,92"
24,IBEX 35® Volatilidad Objetivo 12% Estándar,"194,20","194,60","0,21","195,40","194,50",15/04/2019,14:05,"9,45"
25,IBEX 35® Volatilidad Objetivo 15% Estándar,"201,80","202,30","0,25","203,30","202,20",15/04/2019,14:05,"12,08"
26,IBEX 35® Volatilidad Objetivo 18% Estándar,"203,20","203,80","0,30","205,10","203,70",15/04/2019,14:05,"14,56"
27,IBEX 35® Volatilidad Objetivo 10% Financiado,"134,40","134,60","0,15","135,10","134,60",15/04/2019,14:05,"7,85"
28,IBEX 35® Volatilidad Objetivo 12% Financiado,"137,70","138,00","0,22","138,50","137,90",15/04/2019,14:05,"9,35"
29,IBEX 35® Volatilidad Objetivo 15% Financiado,"148,00","148,40","0,27","149,10","148,30",15/04/2019,14:05,"12,00"
30,IBEX 35® Volatilidad Objetivo 18% Financiado,"142,80","143,20","0,28","144,10","143,10",15/04/2019,14:05,"14,38"
31,VIBEX®,"12,43","11,89","-4,34","11,89","11,89",12/04/2019, ,"-43,73"
32,IBEX 35® Skew,"5,80","5,81","0,17","5,81","5,81",12/04/2019, ,"5,25"
33,IBEX 35® BuyWrite,"1.663,46","1.665,03","0,09","1.665,03","1.665,03",12/04/2019, ,"11,87"
34,IBEX 35® PutWrite,"1.643,59","1.643,59","0,00","1.643,59","1.643,59",12/04/2019, ,"3,11"
35,IBEX 35® Protective Put,"582,60","583,46","0,15","583,46","583,46",12/04/2019, ,"8,43"
36,IBEX 35® Venta de Strangle,"2.172,02","2.170,84","-0,05","2.170,84","2.170,84",12/04/2019, ,"2,95"
37,IBEX TOP Dividendo® Rentabilidad,"7.102,00","7.129,30","0,38","7.157,70","7.121,90",15/04/2019,14:05,"10,27"
38,IBEX TOP Dividendo® Rentabilidad Neta,"6.014,60","6.037,70","0,38","6.061,80","6.031,40",15/04/2019,14:05,"10,06"
39,IBEX MEDIUM CAP® con Dividendos,"14.517,60","14.594,70","0,53","14.613,30","14.550,90",15/04/2019,14:05,"6,75"
40,IBEX MEDIUM CAP® con Dividendos Netos,"13.652,00","13.724,60","0,53","13.742,00","13.683,40",15/04/2019,14:05,"6,58"
41,IBEX SMALL CAP® con Dividendos,"9.480,20","9.524,40","0,47","9.538,70","9.491,70",15/04/2019,14:05,"10,52"
42,IBEX SMALL CAP® con Dividendos Netos,"9.195,80","9.238,30","0,46","9.252,20","9.206,60",15/04/2019,14:05,"10,48"
43,IBEX MAB® 15,"1.102,60","1.094,10","-0,77","1.105,80","1.092,10",15/04/2019,13:48,"20,55"
44,IBEX MAB® All Share,"997,80","993,30","-0,45","999,80","991,90",15/04/2019,13:48,"6,38"
45,FTSE4Good IBEX,"9.756,80","9.783,30","0,27","9.814,60","9.770,20",15/04/2019,14:05,"10,50"
46,FTSE4Good IBEX Total Return,"20.140,90","20.195,50","0,27","20.260,10","20.168,40",15/04/2019,14:05,"11,62"
47,FTSE4Good IBEX Net Return,"18.085,10","18.134,10","0,27","18.192,20","18.109,90",15/04/2019,14:05,"11,40"
48,FTSE Latibex All Share,"2.465,20","2.481,70","0,67","2.484,30","2.481,70",15/04/2019,11:35,"13,92"
49,FTSE Latibex TOP,"5.191,10","5.211,70","0,40","5.219,40","5.211,70",15/04/2019,11:35,"11,43"
50,FTSE Latibex BRASIL,"11.622,20","11.704,90","0,71","11.704,90","11.704,90",15/04/2019,11:30,"13,73"
51,I.G.B.M.,"955,45","957,16","0,18","961,13","956,71",15/04/2019,14:05,"10,96"
52,I.G.B.M. Total,"3.732,44","3.744,37","0,32","3.744,37","3.744,37",12/04/2019,17:38,"12,03"
53,BCN GLOBAL 100 (Base 1986),"753,89","755,65","0,23","759,38","754,91",15/04/2019,14:05,"12,74"
54,BCN GLOBAL 100 (Base 1963),"1.937,62","1.942,15","0,23","1.951,74","1.940,26",15/04/2019,14:05,"12,74"
55,BCN MID 50,"22.713,88","22.876,69","0,72","22.890,19","22.744,06",15/04/2019,14:05,"13,16"
56,BCN PROFIT-30,"13.923,17","13.959,14","0,26","14.007,62","13.940,43",15/04/2019,14:05,"9,35"
57,BCN ROE-30,"21.771,29","21.845,77","0,34","21.885,04","21.812,20",15/04/2019,14:05,"11,19"
58,BCN PER-30,"23.003,97","23.085,87","0,36","23.138,62","23.047,07",15/04/2019,14:05,"9,54"
59,BCN INDEXCAT,"19.715,15","19.820,99","0,54","19.857,12","19.713,76",15/04/2019,14:05,"7,40"
60,BCN TOP EURO,"1.104,12","1.105,86","0,16","1.111,18","1.105,22",15/04/2019,14:05,"10,59"
61,BCN TOP 5,"1.126,95","1.128,71","0,16","1.136,29","1.128,15",15/04/2019,14:05,"12,87"
62,BILBAO,"1.476,29","1.480,10","0,26","1.485,32","1.479,56",15/04/2019,14:05,"11,28"
63,VALENCIA,"1.266,62","1.268,95","0,18","1.274,57","1.268,44",15/04/2019,14:05,"13,44"
64,Índice TEF Apalancado X3,"2.781,20","2.827,10","1,65","2.851,80","2.794,60",15/04/2019,14:04,"2,91"
65,Índice SAN Apalancado X3,"3.681,90","3.684,20","0,06","3.818,60","3.650,30",15/04/2019,14:05,"48,59"
66,Índice BBVA Apalancado X3,"2.088,30","2.075,70","-0,60","2.151,90","2.064,30",15/04/2019,14:05,"70,57"
67,Índice ITX Apalancado X3,"4.790,30","4.850,20","1,25","4.937,60","4.839,30",15/04/2019,14:05,"57,57"
68,Índice TEF Apalancado X5,"81,80","84,00","2,69","85,30","82,50",15/04/2019,14:04,"1,08"
69,Índice SAN Apalancado X5,"1.020,40","1.021,40","0,10","1.083,50","1.005,80",15/04/2019,14:05,"77,11"
70,Índice BBVA Apalancado X5,"115,00","113,80","-1,04","120,80","112,80",15/04/2019,14:05,"123,58"
71,Índice ITX Apalancado X5,"1.201,10","1.226,10","2,08","1.262,70","1.221,60",15/04/2019,14:05,"98,01"
72,Índice TEF Inverso X3,"3.224,10","3.165,90","-1,81","3.203,60","3.137,30",15/04/2019,14:04,"-14,38"
73,Índice SAN Inverso X3,"521,50","520,40","-0,21","525,20","501,30",15/04/2019,14:05,"-46,08"
74,Índice BBVA Inverso X3,"1.464,90","1.471,50","0,45","1.479,40","1.418,10",15/04/2019,14:05,"-53,14"
75,Índice ITX Inverso X3,"2.786,10","2.747,00","-1,40","2.753,30","2.696,10",15/04/2019,14:05,"-47,54"
76,Índice TEF Inverso X5,"548,80","532,30","-3,01","543,00","524,20",15/04/2019,14:04,"-25,90"
77,Índice SAN Inverso X5,"13,30","13,30","0,00","13,50","12,40",15/04/2019,14:05,"-67,40"
78,Índice BBVA Inverso X5,"90,40","91,10","0,77","91,90","85,60",15/04/2019,14:05,"-74,19"
79,Índice ITX Inverso X5,"501,10","489,40","-2,33","491,30","474,10",15/04/2019,14:05,"-68,51"
